area_name,pucca,semi_Pucca,kutcha,latitude,longitude,LULC_Code,LULC_Description
District - Bangalore,93.3,5.7,0.7,12.9700247,77.6536125,50,Built-up
District - Bangalore,84.6,13.8,1.4,12.9700247,77.6536125,50,Built-up
District - Bangalore,94.1,4.9,0.6,12.9700247,77.6536125,50,Built-up
Sub-Dist - Bangalore North,86.9,11.4,1.5,12.9628669,77.577509,50,Built-up
Sub-Dist - Bangalore North,86,12.2,1.6,12.9628669,77.577509,50,Built-up
Sub-Dist - Bangalore North,91.2,7.7,0.9,12.9628669,77.577509,50,Built-up
Gopalapura,67.8,22.2,10,12.9790742,77.5626584,50,Built-up
Kukkanahalli,78.8,20.2,0.5,13.1546477,77.4386429,40,Cropland
Shamabhattara Palya,55,15,30,13.1394101,77.430753,40,Cropland
Totagere,66.7,28.2,5.1,13.1379612,77.4443807,40,Cropland
Bommasettihalli,71.8,17.9,10.3,13.1292633,77.4113845,60,Bare / sparse vegetation
Syadamipalya,73.5,23.5,2.9,13.1171029,77.3941654,40,Cropland
Bethanagere,65.1,25,9.9,13.1082704,77.4156889,40,Cropland
Rampalya,91.1,7.1,0,13.1249511,77.4099497,60,Bare / sparse vegetation
Huskur,75.9,18,5.8,12.8581406,77.7065754,40,Cropland
Agrahara Palya,88.6,11.4,0,13.1224783,77.4458151,40,Cropland
Hosahalli Palya,72.5,14.3,13.2,13.1257298,77.4544211,40,Cropland
Govindapura,84.7,15.3,0,13.0348659,77.6206769,50,Built-up
Honnasandra,48.2,43.2,8.1,13.0405467,77.3378329,50,Built-up
Huchana Palya,89.7,8.6,0,13.1072105,77.4228625,30,Grassland
Pillahalli,93.8,5.8,0.4,13.1031817,77.4271665,40,Cropland
Nagarur,91.4,6.4,1.8,13.0862202,77.4271665,40,Cropland
Kodipalya,94.7,5.3,0,12.8984666,77.4906807,50,Built-up
Mathahalli,92.7,5,2.3,13.1081625,77.4565725,50,Built-up
Narasipura,77.2,22,0.8,12.2110225,76.9038011,50,Built-up
Torenagasandra,48.1,50,1.9,13.112155,77.4658948,40,Cropland
Muniyanapalya,90.9,9.1,0,13.1035315,77.4630265,10,Tree cover
Vaderahalli,97.7,2.3,0,13.0958692,77.5375794,50,Built-up
Alur,82.1,16.6,1.3,15.393291,77.2274933,50,Built-up
Kuduragere,93.2,6.8,0,13.1962101,77.5934621,40,Cropland
Thammenahalli,94.5,5.5,0,13.0734165,77.4831032,60,Bare / sparse vegetation
Hanumantha Sagara,98.8,1.2,0,13.0688652,77.4623094,40,Cropland
Heggadadevanapura,97,2.6,0.2,13.0717935,77.4527702,50,Built-up
Makali,96.9,2.8,0.3,13.0682365,77.4560175,50,Built-up
Adakamaranahalli,94.9,4.9,0.2,13.0628291,77.4400774,50,Built-up
Dasanapura,91.8,7.6,0.5,13.0700786,77.4291142,60,Bare / sparse vegetation
Gejjagadahalli,98.4,1.2,0.4,13.0592989,77.4257319,40,Cropland
Hullegowdanahalli,80.1,18.9,1,13.0560161,77.4020578,40,Cropland
Byregowdanahalli,87.5,11.3,0,13.0556983,77.3812494,40,Cropland
Venkatapura,100,0,0,12.9199543,77.6256895,50,Built-up
Lakkenahalli,72.7,24.2,3.1,13.0435107,77.39751,50,Built-up
